Name,Value
"titre original","Dune: Part Two"
"Date de sortie","2024"
"GENRE","Film, Exclue, Drame, Science Fiction"
"ORIGINE","U.S.A."
"RÉALISATEUR","Denis Villeneuve"
"ACTEURS","Timothée Chalamet, Zendaya, Rebecca Ferguson, Josh Brolin"
"Version","VOSTFR"
"Qualité","HDLight"
"Durée","2 h 46 mn"
